# IEEE OUI prefix → vendor name. Format matches the official IEEE
# oui.txt (https://standards-oui.ieee.org/oui/oui.txt) so operators can
# drop in the full list:
#
#   curl -fsSL https://standards-oui.ieee.org/oui/oui.txt > data/oui.txt
#
# This shipped file is a small curated subset for the v1 hardware Logan
# is going to see in friends-and-family alpha households. Unmatched
# OUIs surface as "Unknown vendor" in the dashboard and the dashboard
# copy makes it clear the parent can rename the device.
#
# Lines starting with # are comments. Other lines must match:
#   AA-BB-CC   (hex)    Vendor Name Here
# Parser: src/box/oui.ts.

# ---- Raspberry Pi (the Meadow box itself) ----
00-1C-62   (hex)    LG Electronics
00-1F-6B   (hex)    LG Electronics Inc.
60-E3-AC   (hex)    LG Electronics Inc.
A0-39-F7   (hex)    LG Electronics Inc.
AC-0D-1B   (hex)    LG Electronics Inc.
CC-FA-00   (hex)    LG Electronics Inc.

# ---- Nintendo (Switch) ----
00-09-BF   (hex)    Nintendo Co., Ltd.
00-19-1D   (hex)    Nintendo Co., Ltd.
00-1F-32   (hex)    Nintendo Co., Ltd.
00-25-A0   (hex)    Nintendo Co., Ltd.
2C-10-C1   (hex)    Nintendo Co., Ltd.
58-2F-40   (hex)    Nintendo Co., Ltd.
98-B6-E9   (hex)    Nintendo Co., Ltd.

# ---- Common router / network gear ----
00-0C-29   (hex)    VMware, Inc.
00-50-56   (hex)    VMware, Inc.
00-1B-2F   (hex)    NETGEAR
00-1E-2A   (hex)    NETGEAR
00-26-F2   (hex)    NETGEAR
1C-3B-F3   (hex)    NETGEAR
50-C7-BF   (hex)    TP-LINK TECHNOLOGIES CO.,LTD.
84-16-F9   (hex)    TP-LINK TECHNOLOGIES CO.,LTD.
14-CC-20   (hex)    TP-LINK TECHNOLOGIES CO.,LTD.
F8-1A-67   (hex)    TP-LINK TECHNOLOGIES CO.,LTD.
74-83-C2   (hex)    Ubiquiti Networks Inc.
24-A4-3C   (hex)    Ubiquiti Networks Inc.
DC-9F-DB   (hex)    Ubiquiti Networks Inc.
74-AC-B9   (hex)    Ubiquiti Networks Inc.

# ---- Common smart-home / IoT ----
50-EC-50   (hex)    Roku, Inc.
B8-A1-75   (hex)    Roku, Inc.
CC-6D-A0   (hex)    Roku, Inc.
00-17-88   (hex)    Philips Lighting BV
00-23-4E   (hex)    Sonos, Inc.
B8-E9-37   (hex)    Sonos, Inc.
54-2A-1B   (hex)    Sonos, Inc.

# ---- Linux desktop / generic Intel + Realtek ----
00-15-17   (hex)    Intel Corporate
00-1B-21   (hex)    Intel Corporate
00-1F-3B   (hex)    Intel Corporate
00-23-14   (hex)    Intel Corporate
00-50-43   (hex)    Marvell Semiconductor, Inc.
00-E0-4C   (hex)    Realtek Semiconductor Corp.
50-EB-71   (hex)    Intel Corporate
A4-34-D9   (hex)    Intel Corporate

# Add more by replacing this whole file with the IEEE list. The parser
# is forward-compatible — it just keys on the AA-BB-CC prefix.
